Seed,Score,T2,T3,T4,T5,T6,B2,B3,B4,B5,B6,N123,N456,TAO2,TAO3,TAO4,TAO5,TAO6,TAOT,NT,TT
NA5ANQ51,59,0,0,1,1,0,0,0,2,1,0,0,0
MLWNUQ51,59,0,0,1,0,1,0,0,1,0,2,0,0
R8669R51,59,1,0,0,1,0,1,1,0,1,0,0,0
K4EOMR51,59,0,1,0,1,0,1,2,0,0,0,0,0
225RTR51,59,0,0,1,1,0,1,0,1,1,0,0,0
WYTBZS51,59,1,0,0,1,0,1,1,0,1,0,0,0
O9GF6T51,59,0,1,0,0,1,1,1,0,1,0,0,0
34PJNT51,60,0,1,0,1,0,0,0,1,1,0,0,1
WY5P3U51,59,1,0,0,0,1,0,1,0,1,1,0,0
AJ8UDU51,59,0,1,0,1,0,0,2,0,1,0,0,0
C78OLU51,59,0,0,1,1,0,1,0,1,1,0,0,0
UHGXWU51,59,0,0,1,1,0,0,0,1,1,1,0,0
YX5QMZ51,59,0,0,1,1,0,0,1,1,0,1,0,0
2JRL9161,59,1,0,0,0,1,0,1,0,1,1,0,0
Z5Y6W161,59,0,1,0,0,1,0,1,0,1,1,0,0
QAPGW261,59,1,0,0,1,0,0,1,2,0,0,0,0
K7X7F361,60,0,0,1,1,0,1,0,0,1,0,0,1
A444L361,59,0,1,0,1,0,0,0,1,0,2,0,0
DQQ65461,59,1,0,0,0,1,1,1,0,1,0,0,0
4NIMC561,59,0,1,0,0,1,1,1,0,0,1,0,0
R5OBT561,60,1,0,0,1,0,1,0,0,0,1,0,1
8CAOG761,60,0,0,1,1,0,0,0,2,0,0,0,1
VWEFL761,60,1,0,0,0,1,0,0,0,1,1,0,1
LAG78A61,59,0,0,1,0,1,0,1,0,0,2,0,0
S1G3TA61,59,0,0,1,1,0,0,1,1,0,1,0,0
2R88XB61,59,0,0,1,1,0,1,0,1,1,0,0,0
TGCRXB61,59,1,0,0,0,1,0,1,0,1,1,0,0
RBATZC61,59,0,1,0,1,0,1,0,1,0,1,0,0
QKW92F61,59,0,1,0,1,0,0,1,1,1,0,0,0
OB589F61,60,0,1,0,0,1,0,0,0,2,0,0,1
G532GF61,67,0,1,1,1,0,0,0,1,0,1,0,1
UYTKLF61,59,0,0,1,0,1,1,0,0,1,1,0,0
N1YIPH61,59,0,1,0,0,1,1,0,1,1,0,0,0
3ZGB4I61,59,0,0,1,1,0,1,1,0,1,0,0,0
OU7CCJ61,60,0,1,0,0,1,1,1,0,0,0,0,1
3NEHKJ61,60,0,1,0,1,0,0,2,0,0,0,0,1
5PC9XJ61,60,1,0,0,1,0,0,0,1,1,0,0,1
LUKSIK61,60,1,0,0,0,1,0,0,0,2,0,0,1
A61G3L61,59,0,0,1,0,1,1,1,0,0,1,0,0
69HJAL61,59,0,0,1,0,1,0,0,1,1,1,0,0
35MISL61,60,1,0,0,1,0,1,0,0,1,0,0,1
WJGR5N61,59,0,0,1,0,1,1,1,0,0,1,0,0
39K32O61,59,1,0,0,0,1,1,0,0,1,1,0,0
GUZ77O61,66,0,1,1,1,0,1,0,0,1,1,0,0
TVICWO61,59,1,0,0,0,1,1,1,0,0,1,0,0
HXDL8P61,74,0,0,1,0,1,1,1,0,2,0,0,0
IB534Q61,66,1,1,1,1,1,0,0,0,1,0,0,1
YMK71R61,60,0,1,0,1,0,0,0,2,0,0,0,1
MQ2DIR61,59,0,0,1,0,1,0,1,1,0,1,0,0
Y8RDKR61,66,1,0,1,0,1,0,0,1,1,1,0,0
KR62HT61,60,1,0,0,1,0,0,0,0,2,0,0,1
PMJJMU61,59,0,1,0,1,0,2,0,0,1,0,0,0
ZHHZ8V61,59,0,0,1,0,1,1,0,0,2,0,0,0
DKT3MW61,59,0,0,1,1,0,0,1,1,0,1,0,0
DC7ITY61,59,1,1,1,1,0,0,0,1,0,0,0,1
ZYPL9Z61,60,0,0,1,1,0,0,0,1,0,1,0,1
SMEFG271,59,1,0,0,0,1,1,0,1,1,0,0,0
VPRPP471,59,0,0,1,0,1,0,0,1,2,0,0,0
NHGR2571,59,1,0,0,1,0,1,1,0,1,0,0,0
IUKS7571,59,1,0,0,0,1,0,0,3,0,0,0,0
Q3DWE671,59,0,1,0,1,0,0,0,1,0,2,0,0
4Q2OH671,59,0,0,1,1,0,1,0,0,0,2,0,0
OMCI7771,59,1,0,0,1,0,1,1,1,0,0,0,0
V8RBX771,59,0,1,0,0,1,0,1,0,0,2,0,0
NIEUF871,59,0,1,0,1,0,1,1,1,0,0,0,0
NRE3V871,60,0,0,1,0,1,1,1,0,0,0,0,1
